LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
807,2356,143619,Primary,9,16,3,8.9,6.5,1.1,12.2,"£36,392"
807,2357,146486,Primary,12,10,1,11.9,6.5,1,20.4,"£35,723"
807,2361,145668,Primary,20,17,2,18.8,13.3,2,22.5,"£38,943"
807,2365,111662,Primary,17,13,4,15.5,10,2.2,22.4,"£36,001"
807,2366,111663,Primary,20,16,5,18.5,13,2.4,22.2,"£39,538"
807,2368,145667,Primary,17,9,5,15.8,8.2,3.2,17.1,"£36,521"
807,3005,145670,Primary,12,12,2,10.6,7.5,1.8,19.6,"£41,268"
807,3007,145671,Primary,17,32,3,16.2,21.7,2.1,19.5,"£40,229"
807,3300,140779,Primary,9,13,4,8.2,12.1,2.3,24.3,"£38,020"
807,3307,141458,Primary,12,13,1,11.5,8.6,1,19.3,"£33,491"
807,3308,141457,Primary,9,6,8,8.3,3.9,3.2,20.7,"£36,308"
807,3309,141456,Primary,13,10,8,11.7,8,3.6,19.1,"£38,177"
807,3387,140750,Primary,9,5,14,9,4.1,7.6,24.5,"£37,111"
807,3388,140319,Primary,33,18,8,29.7,15.1,6.9,18.1,"£34,889"
807,3389,134096,Primary,22,10,2,21.7,9,2,14.5,"£36,191"
807,3393,140769,Primary,16,17,8,15.6,12.9,3.8,19.1,"£32,175"
807,3394,134705,Primary,14,17,13,12.8,14,4.2,18.6,"£37,150"
807,3395,142272,Primary,23,21,2,19.5,14.7,2,20.9,"£37,724"
807,3396,131644,Primary,12,11,6,10.5,10.4,4.1,21.4,"£38,153"
807,3397,131645,Primary,15,16,3,13.1,9.4,2.2,17.0,"£31,999"
807,4003,141013,Secondary,36,17,21,34.5,15,19.9,17.4,"£43,406"
807,4004,141399,Secondary,43,15,17,40.2,12.5,15.8,20.9,"£38,947"
807,4005,111724,Secondary,82,23,27,73.7,16.9,23.4,16.6,"£40,475"
807,4007,111726,Secondary,35,11,26,33.3,9,20.6,15.9,"£41,587"
807,4008,144027,Secondary,67,22,30,60.8,17.8,23.1,14.3,"£40,104"
807,4010,145188,Secondary,30,20,12,27,18.1,11.4,18.2,"£37,434"
807,4121,138845,Secondary,112,16,48,104.1,14.8,45.6,15.7,"£38,779"
807,4638,140751,Secondary,19,6,28,17.6,5.2,21.1,29.7,"£34,268"
807,4639,142273,Secondary,50,6,10,46.1,5.3,9.7,16.2,"£40,853"
807,6905,136139,Secondary,50,9,32,48.6,8.4,28.1,16.5,"£40,631"
808,2000,131409,Primary,18,16,2,16.1,10.7,1.8,18.4,"£41,238"
808,2002,132810,Primary,19,10,2,16.7,7.7,1.4,23.5,"£36,718"
808,2003,132808,Primary,11,14,2,10.2,9.2,1.4,23.3,"£37,100"
808,2004,111523,Primary,7,10,1,5.7,6,1,14.4,"£45,550"
808,2005,111524,Primary,21,22,7,20.5,17.9,4.2,21.1,"£39,063"
808,2006,144551,Primary,19,29,7,17,16.7,4,22.1,"£34,376"
808,2013,139392,Primary,19,12,2,17.5,11.2,1.7,16.5,"£36,202"
808,2014,139492,Primary,11,12,4,9.5,10.7,2.7,26.0,"£34,031"
808,2015,139959,Primary,20,28,4,18.2,19,3.8,18.5,"£33,920"
808,2016,142108,Primary,12,7,3,12,6.8,2.7,22.3,"£38,359"
808,2017,143145,Primary,25,37,5,20.9,30.5,4,21.7,"£38,387"
808,2020,146018,Primary,7,7,4,5.8,4.6,1.6,22.2,"£40,678"
808,2022,111535,Primary,15,18,3,12.5,7.9,2.4,16.3,"£40,751"
808,2030,111539,Primary,14,19,4,12.6,13.9,3.5,17.1,"£38,020"
808,2032,111540,Primary,17,19,3,15,14.8,2.9,17.8,"£39,825"
808,2042,146019,Primary,27,19,4,24.5,11.4,3,22.6,"£37,943"
808,2056,111549,Primary,18,26,3,16.1,22.1,2.5,25.4,"£35,628"
808,2057,111550,All through,19,20,3,18.5,12.7,1.4,21.5,"£36,903"
808,2069,140599,Primary,18,19,3,16.7,10.2,2.7,20.6,"£36,886"
808,2075,146020,Primary,13,8,3,11.7,7,2.6,19.9,"£38,258"
808,2076,143623,Primary,23,15,3,21.6,12.5,3,16.9,"£32,732"
808,2079,143068,Primary,23,23,3,22,12.2,2.5,18.8,"£34,801"
808,2080,111562,Primary,10,8,1,8.7,4.6,0.8,20.7,"£44,871"
808,2084,143077,Primary,11,8,2,10.1,5.4,1.5,20.2,"£36,204"
808,2085,145976,Primary,8,8,4,7.5,3.3,1.8,17.6,"£40,160"
808,2087,111566,Primary,12,15,1,10.2,5,1,20.7,"£38,486"
808,2088,136093,Primary,21,28,4,19.1,18.7,1.9,22.1,"£38,053"
808,2304,145689,Primary,17,13,2,13.8,8.4,1.4,21.3,"£37,543"
808,2319,140519,Primary,19,23,2,18.2,17.4,2,19.4,"£36,383"
808,2324,146017,Primary,9,14,4,8,6.5,2.2,25.1,"£41,145"
808,2343,144542,Primary,19,23,4,17.6,13.7,2.2,17.2,"£32,137"
808,2344,141301,Primary,23,21,4,22.5,19.1,3.7,20.0,"£35,572"
808,2345,111644,Primary,21,21,6,19,15.4,3.9,20.9,"£39,129"
808,2355,140072,Primary,13,13,4,11.6,11.5,3.6,20.5,"£34,644"
808,2358,145223,Primary,28,31,2,24,16.8,1.8,23.7,"£41,126"
808,2362,130256,Primary,27,16,5,23.4,10.7,3.4,24.7,"£40,307"
808,2363,111660,Primary,15,22,5,14.3,15.7,3.8,19.4,"£42,769"
808,2371,130378,Primary,16,16,2,16,13.1,1.8,20.2,"£39,942"
808,3000,111667,Primary,23,26,6,20.8,20.7,4.3,25.1,"£37,364"
808,3001,111668,Primary,15,25,4,12.7,18.6,3.1,19.4,"£38,232"
808,3002,111669,Primary,20,23,4,17.2,16.6,3,21.4,"£37,076"
808,3004,144936,Primary,9,7,2,8.7,3.4,1.5,18.6,"£34,727"
808,3300,142280,Primary,10,21,2,9.3,9.5,1.7,25.4,"£37,514"
808,3301,142734,Primary,12,9,2,10.3,6.7,2,18.5,"£38,693"
808,3303,111676,Primary,9,11,3,8.6,6.6,2.1,22.5,"£35,764"
808,3304,142739,Primary,14,14,2,11.4,7.9,1.5,20.0,"£38,508"
808,3305,142736,Primary,11,10,2,10.5,7.4,1.5,18.9,"£39,575"
808,3312,111683,Primary,11,15,2,10.6,11.8,1.7,19.3,"£38,205"
808,3313,111684,Primary,18,25,2,16.2,14.1,1.6,19.1,"£39,331"
808,3316,111687,Primary,12,12,2,11.3,6,1.7,25.2,"£39,030"
808,3317,140442,Primary,11,12,4,9.6,8.8,2.9,21.3,"£39,518"
808,3325,142282,Primary,16,25,5,14.7,17.5,2.5,27.1,"£37,374"
808,3327,142279,Primary,15,15,2,13.9,9.4,1.6,24.5,"£32,638"
808,3383,146449,Primary,10,5,1,7.1,3.2,0.9,13.5,"£34,840"
808,3392,111720,Primary,13,3,2,9.5,2.1,1.3,18.9,"£38,521"
808,3393,134621,Primary,28,22,5,22.8,12.2,3.6,19.7,"£39,294"
808,3394,134708,Primary,29,14,3,28.5,14,3,23.2,"£30,060"
808,3395,134853,Primary,27,26,4,22.3,21.1,3.1,19.5,"£38,560"
808,3396,131251,Primary,23,15,5,19.8,9.5,4,21.0,"£37,284"
808,3397,135126,Primary,24,16,3,23.3,15.3,2.3,17.1,"£34,700"
808,4001,139606,Secondary,47,11,12,45.2,10.1,9.8,16.2,"£39,304"
808,4002,139656,Secondary,57,13,13,55.2,11,12.6,17.3,"£38,806"
808,4003,139673,Secondary,38,15,21,38,13,19.6,19.3,"£40,191"
808,4004,140949,Secondary,27,6,9,26.6,5.5,9,22.0,"£32,963"
808,4005,141369,Secondary,71,18,21,65.5,13.8,18.5,17.7,"£41,361"
808,4006,141370,Secondary,52,13,13,51.6,11.2,11.3,17.1,"£35,011"
808,4007,143146,Secondary,36,17,16,34.4,15.8,15.5,12.7,"£38,176"
808,4008,143063,Secondary,115,18,26,99.7,12.1,24.4,15.0,"£40,038"
808,4009,144495,Secondary,26,6,9,26,5.8,8.8,13.9,"£43,198"
808,4023,139318,Secondary,85,17,33,80.2,13.2,28.4,16.1,"£39,043"
808,4102,111731,Secondary,90,24,32,85.8,19.7,28.2,16.1,"£39,527"
808,4632,142281,Secondary,28,10,10,27.8,8.5,9,18.1,"£40,526"
808,6906,136146,Secondary,40,9,15,38.3,8.7,13.9,17.3,"£42,930"
810,2001,131510,Primary,17,15,3,16.3,10.5,2.7,20.1,"£35,644"
810,2002,140229,Primary,18,22,2,16.3,16,2,21.2,"£39,510"
810,2004,138677,Primary,18,21,3,17,15.1,2.7,20.4,"£37,957"
810,2005,144672,Primary,24,32,6,21.5,24.2,6,18.9,"£38,899"
810,2006,138678,Primary,25,28,4,21.1,22.6,3.3,19.3,"£34,640"
810,2007,138679,Primary,21,24,5,19.2,17.2,4.8,17.4,"£33,871"
810,2008,139570,Primary,14,16,2,12.9,10.5,2,25.1,"£35,770"
810,2009,139579,Primary,21,34,15,19.5,26.2,13.3,21.4,"£39,773"
810,2010,139799,Primary,15,19,3,14.4,10.5,2.7,16.4,"£34,147"
810,2011,139921,Primary,7,8,4,6.5,4.2,2.4,31.1,"£31,397"
810,2012,139922,Primary,14,13,9,13.1,10.2,7.2,27.4,"£35,237"
810,2013,139968,Primary,29,38,2,25.2,25.9,2,22.7,"£36,051"
810,2014,140169,Primary,8,11,1,6.8,8,1,35.7,"£31,381"
810,2015,140184,Primary,22,28,2,19.4,19,2,22.3,"£38,309"
810,2016,140275,Primary,22,27,8,22,24.1,7.7,22.9,"£34,973"
810,2017,140830,Primary,13,8,2,12.6,6.3,2,22.2,"£37,436"
810,2018,140847,Primary,15,11,4,14.5,8.6,3.2,21.2,"£36,765"
810,2019,140848,Primary,10,16,3,9.4,9.1,3,21.0,"£34,631"
810,2020,140849,Primary,22,18,9,17.4,10.7,6.7,20.7,"£37,231"
810,2021,141387,Primary,11,21,2,10.2,12.1,1.9,21.6,"£38,402"
810,2022,144605,Primary,22,27,12,20.5,16.5,6,22.3,"£35,158"
810,2023,144103,Primary,8,11,2,7,8.1,2,30.2,"£33,164"
810,2039,139838,Primary,13,12,2,10.9,6.8,1.8,21.7,"£36,646"
810,2040,143223,Primary,14,13,4,9.7,8.3,3.6,21.8,"£40,242"
810,2045,140235,Primary,35,26,7,30.1,15.9,5.6,21.4,"£37,736"
810,2080,117719,Primary,12,16,5,11.5,8.9,4.2,34.4,"£39,849"
810,2081,117720,Primary,20,19,6,16.8,11.5,2.8,29.2,"£37,924"
810,2088,143225,Primary,22,23,10,20.7,19.6,8.4,21.2,"£35,363"
810,2089,144677,Primary,19,25,2,17.1,17.3,2,18.7,"£34,255"
810,2160,139850,Primary,32,26,4,29.3,22.3,4,21.4,"£35,941"
810,2164,140716,Primary,15,23,4,12.6,17.7,3.5,25.9,"£35,802"
810,2207,141078,Primary,22,19,10,19.4,12.1,6.8,20.7,"£34,589"
810,2279,144670,Primary,18,16,2,18,10.1,2,19.2,"£33,653"
810,2285,143224,Primary,16,11,4,13.6,6.3,3.4,22.3,"£37,073"
810,2289,140247,Primary,14,11,4,12,7.2,2.4,22.3,"£35,938"
810,2403,140245,Primary,20,18,6,19.6,13.3,5.7,20.5,"£37,696"
810,2440,144671,Primary,9,14,6,8.9,10.1,3.4,22.9,"£34,420"
810,2441,140246,Primary,14,12,5,12.8,10,4.2,19.1,"£35,745"
810,2490,117807,Primary,20,18,6,18.9,13.4,4.5,19.0,"£38,414"
810,2493,142307,Primary,24,39,6,23.2,30.2,5.3,23.0,"£32,290"
810,2560,144305,Primary,18,21,3,16.7,14.5,3,21.5,"£40,216"
810,2566,140290,Primary,23,26,5,21.2,18.2,4.7,19.7,"£36,913"
810,2600,145611,Primary,8,10,2,7.3,7.3,1.5,28.4,"£33,902"
810,2610,140587,Primary,20,23,6,17.1,16.4,4.9,26.1,"£35,068"
810,2642,143226,Primary,13,21,5,11.1,12.7,4.5,20.7,"£35,634"
810,2647,145431,Primary,21,23,8,19.3,16.9,5.2,18.9,"£33,483"
810,2657,145612,Primary,7,18,1,7,7.1,0.9,27.9,"£39,959"
810,2660,141720,Primary,20,25,5,18.2,15.1,4.1,19.0,"£37,538"
810,2670,144674,Primary,23,41,6,20.3,20.9,6,21.6,"£33,924"
810,2684,139886,Primary,23,21,3,21.4,16.2,2.9,24.5,"£38,374"
810,2822,140437,Primary,23,38,8,21.4,28.1,6.8,21.3,"£39,533"
810,2825,139513,Primary,22,15,3,22,11.4,2.8,17.6,"£37,210"
810,2861,139508,Primary,31,46,10,29.9,30.9,8.8,21.3,"£38,936"
810,2863,139525,Primary,19,24,7,18.6,18.6,5.7,17.8,"£33,770"
810,2868,139512,Primary,27,40,5,25.8,33.2,4.4,18.3,"£34,697"
810,2884,144669,Primary,16,17,4,14.8,12,3.2,24.8,"£36,030"
810,2891,140902,Primary,22,37,7,20.6,21.9,5.3,21.6,"£39,183"
810,2901,139848,Primary,24,14,4,19.7,9.5,2.1,15.8,"£39,669"
810,2902,139511,Primary,9,18,3,8.6,15.3,2.8,29.7,"£37,956"
810,2904,144583,Primary,17,22,8,16.5,15.8,6.7,19.0,"£30,251"
810,2905,142440,Primary,13,14,4,10.9,10.8,3.9,20.1,"£37,798"
810,2906,144676,Primary,10,16,2,9.2,8.6,1.8,20.0,"£36,536"
810,3302,141719,Primary,15,14,4,12.9,10,3.1,19.7,"£35,230"
810,3400,140905,Primary,16,21,4,13.9,11.8,2.8,24.0,"£36,447"
810,3404,144102,Primary,9,10,2,8.8,7.5,1.9,27.0,"£35,724"
810,3500,140906,Primary,10,14,3,7.8,9.2,2.6,25.2,"£37,555"
810,3506,118051,Primary,28,33,4,25.7,22.1,3.4,24.0,"£40,052"
810,3508,140903,Primary,18,18,7,17,15.4,5.7,19.7,"£34,081"
810,3509,144421,Primary,21,23,2,19.2,17.9,1.9,22.9,"£37,642"
810,3510,141649,Primary,17,24,4,15.2,16.9,3.9,23.9,"£31,714"
810,3511,144101,Primary,11,15,3,10.6,9.3,2.8,17.8,"£37,365"
810,4001,139629,Secondary,81,36,27,76.4,30,26.1,16.8,"£35,431"
810,4007,138246,Secondary,90,37,31,88.8,34.2,29.5,12.7,"£38,511"
810,4009,139118,Secondary,64,5,20,63.3,4.9,18.1,14.3,"£38,689"
810,4010,139395,Secondary,47,15,10,46.6,13.5,9.6,11.8,"£35,719"
810,4011,142391,Secondary,76,25,12,69.9,21.6,10.7,14.6,"£33,790"
810,4013,144766,Secondary,34,4,11,33.2,3.4,10.3,12.7,"£41,862"
810,4020,142150,Secondary,88,25,35,81,20.9,30.6,18.0,"£37,671"
810,4030,144307,Secondary,48,8,20,42.9,7.1,17.1,13.6,"£39,008"
810,4113,143221,Secondary,82,21,36,79,19.4,34.3,17.7,"£40,413"
810,4622,138082,Secondary,35,18,14,34,15.3,11.4,18.1,"£41,490"
810,4626,144104,Secondary,164,55,51,149.3,46,46.4,14.0,"£40,013"
810,6905,135598,Secondary,100,43,43,96.6,39.7,37.2,14.3,"£40,308"
810,6906,135945,Secondary,141,34,42,133.4,29.3,39.5,11.4,"£39,735"
811,2000,133480,Primary,19,34,6,16.2,23.1,4.8,25.3,"£37,617"
811,2001,133481,Primary,11,16,4,9.5,6.8,3.5,22.7,"£39,509"
811,2003,133519,Primary,5,7,3,5,4.4,2.5,12.8,"£36,099"
811,2005,140551,Primary,19,20,4,18,16.4,3.6,20.8,"£36,088"
811,2007,142119,Primary,6,6,2,6,4.7,2,19.7,"£36,372"
811,2009,143823,Primary,5,4,5,4.4,2.2,2.1,11.7,"£33,576"
811,2010,144471,Primary,12,10,2,11.4,6.5,1.8,21.0,"£37,483"
811,2011,145177,Primary,17,13,2,13.8,9.8,1.8,22.6,"£34,006"
811,2012,145189,Primary,3,3,2,3,2,1.3,11.8,SUPP
811,2013,145190,Primary,NA,NA,NA,NA,NA,NA,0.0,SUPP
811,2478,135700,Primary,21,17,10,19.4,12.4,8.7,18.4,"£39,339"
811,2700,117823,Primary,8,11,4,6.5,4.5,2.1,21.1,"£40,659"
811,2701,117824,Primary,5,3,1,3,3,1,16.3,"£44,709"
811,2702,117825,Primary,5,7,3,4.5,3.9,2.5,18.3,"£34,966"
811,2704,117827,Primary,15,17,6,14.2,9,5.6,23.1,"£39,091"
811,2706,117829,Primary,13,13,8,9.7,6.7,4.4,23.0,"£38,456"
811,2707,117830,Primary,4,6,2,4,2.3,1.4,16.3,"£34,461"
811,2708,117831,Primary,8,10,3,7.6,5,2.1,21.2,"£40,579"
811,2709,117832,Primary,17,21,3,15.6,15.5,2.9,20.7,"£38,144"
811,2710,117833,Primary,11,22,6,10.8,9.9,4.2,21.5,"£40,178"
811,2715,117838,Primary,7,9,4,6.8,5.3,3.5,21.6,"£36,043"
811,2718,117839,Primary,6,5,2,4.5,3.2,1.6,18.0,"£35,648"
811,2719,117840,Primary,22,35,5,20.4,21,4.3,24.4,"£36,375"
811,2720,117841,Primary,7,4,3,5.5,2.6,2,18.3,"£41,098"
811,2721,117842,Primary,21,23,8,18.1,10.9,6.1,20.8,"£37,246"
811,2728,140119,Primary,5,11,2,4.4,6.1,1.2,21.4,"£31,226"
811,2731,117851,Primary,11,13,3,8.7,7.1,1.3,21.6,"£39,644"
811,2732,117852,Primary,13,14,6,11,7.1,5.3,21.5,"£40,036"
811,2733,117853,Primary,29,52,11,24.1,27.7,8.4,23.0,"£36,858"
811,2734,117854,Primary,12,13,2,9.3,7,1.6,21.9,"£38,923"
811,2735,117855,Primary,9,11,3,8,6.5,2.7,23.3,"£34,538"
811,2738,117858,Primary,14,30,2,12.1,7.9,2,23.6,"£37,887"
811,2739,117859,Primary,6,10,2,5.1,5.1,1.5,17.7,"£34,874"
811,2740,117860,Primary,6,9,4,6,6.5,2.5,21.8,"£37,468"
811,2741,117861,Primary,6,3,3,3.8,2.4,1.7,15.9,"£42,824"
811,2742,117862,Primary,5,5,7,4.8,2.3,3.2,13.3,"£43,067"
811,2743,143587,Primary,15,16,4,13.1,8.1,3.8,21.3,"£34,812"
811,2744,117864,Primary,12,21,3,10,10.2,2.7,19.8,"£38,230"
811,2746,143586,Primary,14,24,6,11.2,13,4.1,22.7,"£36,817"
811,2747,117866,Primary,14,20,4,13.1,9.6,2.8,20.7,"£39,901"
811,2748,117867,Primary,6,7,4,5.1,4.8,2.8,21.6,"£32,674"
811,2749,117868,Primary,19,25,5,17,14.7,5,22.1,"£35,071"
811,2754,117872,Primary,9,6,3,7,4.3,2.5,17.9,"£37,802"
811,2755,146161,Primary,10,9,7,8.1,4.9,4.1,20.0,"£31,326"
811,2757,117875,Primary,11,12,9,9.2,7.1,5.3,23.9,"£40,650"
811,2761,117878,Primary,7,9,3,6.7,5,2.4,20.3,"£37,516"
811,2765,117881,Primary,26,29,7,20.6,12.1,5.1,24.7,"£38,869"
811,2766,117882,Primary,3,5,3,3,3.5,1.6,16.7,"£34,115"
811,2768,117883,Primary,20,20,5,18.2,12.8,3.5,22.9,"£37,358"
811,2769,137151,Primary,31,29,6,18.4,14.1,5.1,22.9,"£35,746"
811,2770,117885,Primary,12,18,9,8.4,10.3,4.1,25.0,"£41,600"
811,2771,117886,Primary,19,23,10,17.8,15.7,7.7,23.3,"£37,518"
811,2777,117888,Primary,20,33,6,16.6,16.6,4.2,24.2,"£37,925"
811,2778,117889,Primary,24,45,6,20,19.5,4.9,20.8,"£38,950"
811,2780,117891,Primary,16,21,11,14.9,10.4,6.4,23.3,"£36,080"
811,2789,117892,Primary,7,6,4,6,4.5,2.5,16.7,"£35,464"
811,2790,117893,Primary,4,2,2,2.9,1.2,1,18.8,"£48,996"
811,2796,117894,Primary,19,20,5,15.6,12.1,4.5,21.3,"£37,374"
811,2879,117909,Primary,12,39,4,10.5,21.7,3,22.5,"£39,223"
811,2881,117911,Primary,20,38,10,16.3,14.9,6,24.5,"£36,820"
811,2882,117912,Primary,15,17,6,10.7,8.6,3.6,22.4,"£35,379"
811,2889,117916,Primary,7,9,8,6.8,4,3,22.4,"£39,278"
811,2908,117935,Primary,25,25,7,22.4,19,5.6,24.7,"£35,864"
811,2909,117936,Primary,21,27,12,21,22.6,10.3,22.4,"£33,699"
811,2910,117937,Primary,15,45,5,13.7,19.2,4.2,20.4,"£36,740"
811,2912,117939,Primary,5,2,3,2.7,1.1,2.2,14.3,"£40,857"
811,2913,145596,Primary,9,13,3,5.8,6.6,2,18.8,"£33,479"
811,2914,117941,Primary,21,31,3,19.8,18,2.7,18.5,"£34,023"
811,2915,117942,Primary,3,5,4,3,2.7,2.8,17.8,"£37,261"
811,3011,117969,Primary,7,8,2,5.7,6.8,1.1,16.4,"£39,416"
811,3012,117970,Primary,6,4,2,3.6,1.4,0.8,4.7,"£42,813"
811,3013,117971,Primary,20,18,6,16.9,10.3,4.8,20.8,"£37,187"
811,3017,117972,Primary,5,5,5,2.9,2.4,2.9,11.6,"£40,029"
811,3018,117973,Primary,6,10,3,4.8,6.3,2.1,18.3,"£41,639"
811,3019,117974,Primary,12,12,2,9.8,7.3,1.7,19.1,"£39,447"
811,3021,117976,Primary,6,13,3,5.5,5.7,2,18.7,"£38,333"
811,3022,117977,Primary,7,12,3,4.7,6.3,2,23.8,"£39,473"
811,3023,117978,Primary,19,28,8,18.1,19.3,4.2,21.4,"£34,090"
811,3024,117979,Primary,16,16,12,13.7,11.2,6.4,22.3,"£32,895"
811,3026,117980,Primary,6,7,2,6,3.2,1.9,22.7,"£35,824"
811,3027,117981,Primary,8,20,4,7.3,6.5,2.1,21.2,"£40,143"
811,3029,117982,Primary,15,19,5,13,10.5,3.7,23.8,"£37,170"
811,3030,117983,Primary,7,8,4,4.7,3.6,3.1,14.9,"£37,722"
811,3031,117984,Primary,6,11,3,5.1,5.2,2.3,21.4,"£36,333"
811,3032,117985,Primary,14,14,5,12.9,8.5,3.4,21.1,"£35,253"
811,3034,117987,Primary,9,11,3,7.8,4.1,2.2,19.9,"£35,246"
811,3035,146174,Primary,6,10,3,5.9,4.6,0.9,14.0,"£36,450"
811,3036,117989,Primary,5,9,7,5,5,3.1,21.5,"£41,432"
811,3037,117990,Primary,6,5,3,3.8,1.8,1.7,16.5,"£39,086"
811,3039,117992,Primary,4,2,4,4,1.4,1.9,18.0,"£41,164"
811,3040,117993,Primary,10,11,3,7.2,6.9,2.5,20.6,"£37,521"
811,3041,144082,Primary,5,13,6,5,7.2,3.7,24.8,"£40,881"
811,3042,117995,Primary,10,16,2,8.6,8.5,1.4,24.3,"£39,543"
811,3044,117997,Primary,6,3,5,5.1,2,3.7,11.9,"£35,298"
811,3045,117998,Primary,14,16,5,9.8,10.5,2.7,22.8,"£37,075"
811,3046,117999,Primary,5,7,2,5,3.1,1.8,14.2,"£32,743"
811,3047,118000,Primary,8,6,2,4.7,2.2,1.8,16.5,"£38,496"
811,3048,118001,Primary,3,3,3,2.9,2.3,1.4,12.4,"£42,486"
811,3049,118002,Primary,10,13,5,8,6.9,1.9,21.3,"£38,344"
811,3050,118003,Primary,11,18,4,10.7,9.2,3.9,25.9,"£41,305"
811,3081,118025,Primary,6,9,4,4.8,4.9,2.4,22.6,"£40,460"
811,3082,118026,Primary,6,18,6,4.1,6.9,3.3,18.8,"£35,713"
811,3086,118028,Primary,4,2,3,3.1,1.7,2.1,14.8,"£31,646"
811,3087,145595,Primary,11,20,5,10.9,9.8,3.7,19.1,"£29,891"
811,3088,118030,Primary,21,29,7,16.8,16.5,4.5,23.0,"£35,952"
811,3313,118032,Primary,10,9,2,9.2,7,1.6,18.7,"£40,072"
811,3315,118033,Primary,10,9,2,6.5,6.2,1.6,15.0,"£38,101"
811,3316,118034,Primary,8,9,7,3.9,4.4,3.4,26.5,"£38,367"
811,3317,118035,Primary,8,6,5,4.9,3.8,2.1,21.0,"£39,413"
811,3318,118036,Primary,12,16,5,10,8.7,3.7,20.4,"£41,221"
811,3331,118044,Primary,6,6,2,6,3.6,1.7,17.7,"£35,390"
811,3332,118045,Primary,6,10,3,5.1,4.1,2,21.6,"£40,693"
811,3508,134741,Primary,11,27,4,10,10.4,3.1,21.9,"£40,014"
811,3509,135077,Primary,17,11,5,12.6,7,3.8,18.2,"£35,949"
811,3510,135078,Primary,14,17,4,13.4,11.5,2.7,20.6,"£37,855"
811,3511,132209,Primary,11,12,2,10.2,9.1,2,24.3,"£40,241"
811,3512,132349,Primary,21,20,13,16.5,13.7,7.3,22.6,"£37,060"
811,3513,135115,Primary,17,27,6,15,14.5,3.7,27.2,"£40,573"
811,4001,143854,Secondary,87,23,40,76.6,19.6,36.9,17.6,"£38,007"
811,4002,145722,Secondary,81,20,29,76.6,17.7,25.7,16.7,"£37,731"
811,4003,145929,Secondary,46,10,24,43.6,8.3,22.2,19.6,"£40,710"
811,4050,118072,Secondary,62,13,20,48.8,11.4,18.7,17.8,"£41,481"
811,4051,118073,Secondary,76,13,34,68.6,11.8,30.3,15.8,"£41,294"
811,4053,137306,All through,71,24,28,69,20.2,24.2,23.1,"£36,952"
811,4054,118075,Secondary,46,23,25,43.5,17.1,21.1,16.2,"£39,007"
811,4055,118076,Secondary,33,23,12,29.9,14.8,10.7,16.6,"£37,945"
811,4056,136667,Secondary,133,42,51,121.3,31.2,42.7,17.8,"£39,977"
811,4058,136921,Secondary,57,16,24,52.6,12.3,20.5,17.3,"£39,820"
811,4060,143588,Secondary,67,13,14,60.7,10.8,12,17.8,"£42,624"
811,4061,118082,Secondary,73,30,31,63.7,23.4,27.3,16.7,"£37,902"
811,4062,144561,Secondary,88,15,36,85.1,12.6,32.2,17.6,"£38,714"
811,4063,146129,Secondary,41,17,22,38.9,11.3,18.4,17.9,"£37,983"
811,4064,118085,Secondary,58,10,25,54.2,8.7,22.7,16.3,"£41,127"
811,4102,140866,Secondary,55,28,35,51.8,17.7,21.3,18.0,"£41,936"
811,4500,118111,Secondary,80,19,30,74.6,17.8,28.4,13.0,"£40,284"
811,4625,136995,Secondary,43,9,12,38.2,7.6,8.1,21.2,"£34,779"
811,5200,118120,Primary,6,10,2,5,4.3,2,17.7,"£41,145"
811,5201,118121,Primary,9,10,3,8.4,4.7,2.4,20.6,"£41,270"
811,5202,118122,Primary,8,7,3,6.2,3.9,2.2,16.3,"£37,278"
811,5203,117996,Primary,9,14,4,7,6.2,2.3,21.2,"£36,987"
811,5204,141933,Primary,27,47,16,25.5,33.2,12.8,21.3,"£38,881"
812,2000,144148,Primary,17,14,3,16.2,10.8,2.4,17.7,"£31,550"
812,2001,138542,Primary,21,25,5,20.6,18.3,4.3,21.4,"£34,367"
812,2002,142565,Primary,2,0,0,2,0,0,0.0,SUPP
812,2004,138237,Primary,23,25,9,22.7,23.1,7.6,20.4,"£33,250"
812,2005,138279,Primary,19,22,6,18.5,16.6,5.6,19.2,"£37,925"
812,2006,138857,Primary,16,17,2,15.6,14.7,2,17.3,"£31,884"
812,2007,138866,Primary,11,8,6,8.4,6.7,4.3,17.7,"£37,894"
812,2008,138890,Primary,23,33,8,19.5,20.2,7.5,25.6,"£33,651"
812,2009,138975,Primary,17,15,4,16.6,10.1,3.3,23.8,"£32,627"
812,2010,139009,Primary,7,13,4,7,7.9,3.2,30.4,"£43,758"
812,2011,139420,Primary,11,8,4,7.1,5.6,2.5,24.8,"£38,816"
812,2012,139952,Primary,27,15,7,25.4,13,5.7,16.9,"£30,743"
812,2013,140991,Primary,14,18,3,12.2,12.4,2.7,18.8,"£37,352"
812,2109,143884,Primary,17,19,3,15.4,12.8,2.5,19.3,"£39,719"
