LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
204,6907,131609,Secondary,74,21,34,69,19.9,31,15.6,"£55,825"
204,6908,135835,Secondary,101,67,2,94.1,56.2,1.3,12.0,"£41,617"
204,6909,136137,Secondary,60,28,32,60,27.3,31.1,17.3,"£41,676"
205,2000,137331,Primary,12,11,5,11.4,8,3.9,18.3,"£35,393"
205,2001,139546,Primary,19,13,3,17,13,2,21.2,"£40,947"
205,2002,100321,Primary,19,21,3,17.5,18.2,2.4,20.1,"£43,776"
205,2003,139820,Primary,20,7,5,19.6,5.1,5,14.1,"£40,415"
205,2004,140811,Primary,10,5,3,7,4.3,0.8,21.5,"£46,444"
205,2005,141685,Primary,12,3,3,11.6,2.9,3,16.6,"£42,781"
205,2026,100322,Primary,13,15,3,13,10.8,2.6,16.2,"£42,494"
205,2045,138680,Primary,13,7,4,12.6,6.9,3.7,16.8,"£40,045"
205,2061,100324,Primary,25,13,7,23.7,9.2,6.8,19.3,"£44,407"
205,2134,100326,Primary,14,14,8,13.3,12.2,7,18.0,"£51,146"
205,2223,100328,Primary,12,8,4,11.4,7.9,3.9,18.4,"£45,349"
205,2286,143213,Primary,22,21,11,20,14.3,7.8,14.8,"£40,723"
205,2309,142256,Primary,16,8,5,14.4,7.3,4.8,16.6,"£45,595"
205,2350,100331,Primary,12,11,3,11.2,7.6,2.8,20.4,"£46,209"
205,2383,140634,Primary,NA,NA,NA,NA,NA,NA,NA,NA
205,2408,100334,Primary,25,32,14,22.4,17.8,10.3,18.6,"£45,129"
205,2444,100335,Primary,20,20,10,17.8,10.9,10,19.0,"£49,714"
205,2484,143212,Primary,13,10,8,13,6.9,6.2,16.2,"£40,269"
205,2555,100338,Primary,18,12,10,17,7.4,9.3,19.5,"£44,542"
205,2577,143214,Primary,13,19,4,12.1,16.1,3.4,20.0,"£47,085"
205,2632,100340,Primary,23,13,8,20,9.8,7,21.8,"£47,787"
205,2660,100341,Primary,25,16,12,24.6,13.5,9.9,16.7,"£44,809"
205,2913,141902,Primary,NA,NA,NA,NA,NA,NA,NA,NA
205,3300,100344,Primary,13,9,7,11.3,4.3,5.3,20.0,"£44,494"
205,3354,100345,Primary,31,28,7,28.5,21.6,6.8,21.7,"£42,367"
205,3368,100346,Primary,13,10,5,12.6,7.1,3.3,18.8,"£40,386"
205,3378,100347,Primary,12,9,5,10.5,6.5,3.7,19.7,"£46,958"
205,3463,100349,Primary,21,16,6,20.4,10.3,5,18.8,"£39,627"
205,3529,100350,Primary,12,14,5,9.7,10.4,4.9,22.2,"£46,990"
205,3566,100351,Primary,16,20,4,14,13.7,2.3,15.8,"£44,306"
205,3578,100352,Primary,10,14,6,8.9,8.5,5.3,23.3,"£42,949"
205,3600,100353,Primary,20,20,5,18.2,14.1,4.4,22.8,"£48,171"
